timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
462.475,0.0223784,-0.174436,-9.64593,0.00089692,0.00125017,-0.000979328
462.481,0.00307761,-0.18571,-9.61563,-0.000812175,8.22724e-05,-0.00100554
462.488,0.0186088,-0.173969,-9.67121,-0.000407775,-0.000336196,-6.12596e-05
462.494,0.0168496,-0.164133,-9.64906,0.00032789,-0.000163492,-0.000769676
462.5,0.024478,-0.194216,-9.65346,-0.000440855,0.0006407,-1.72388e-06
462.506,0.0276509,-0.143863,-9.67889,-0.000364105,0.000874164,-0.000558341
462.513,0.0207957,-0.176607,-9.66993,-0.000275589,-0.000907248,-0.00163683
462.519,0.0420435,-0.162756,-9.62366,0.000526515,0.000838778,-0.000671411
462.525,-0.00324432,-0.183201,-9.63806,7.38646e-05,0.000263329,0.00118617
462.531,0.000833485,-0.162407,-9.61031,-0.000845629,0.00160865,-0.000805829
462.538,0.0246783,-0.216748,-9.65771,0.000538158,-0.000830647,-0.000831981
462.544,0.0249816,-0.189587,-9.62778,-0.00024016,0.000641072,-0.000877322
462.55,0.0183964,-0.168269,-9.64901,-0.000231571,-0.000565948,-3.23122e-05
462.556,0.0460033,-0.169642,-9.64461,0.0010592,-0.000505549,-0.000265337
462.563,0.0165749,-0.179236,-9.672,-0.000595548,0.000244545,-0.000727115
462.569,0.0131982,-0.186709,-9.6568,0.000386101,7.37503e-06,2.19066e-05
462.575,0.0105446,-0.189743,-9.64647,-0.000312371,-0.000944768,6.21825e-05
462.581,0.00668437,-0.167015,-9.64533,-0.000421359,-0.000189543,-0.0017536
462.588,0.0161946,-0.174643,-9.66358,0.000610681,0.000429302,-0.000512029
462.594,0.0156982,-0.157987,-9.63836,-0.000590627,0.000626213,-0.00043662
462.6,0.0382389,-0.170471,-9.67735,-0.000552056,0.000104792,-0.00075953
462.606,0.00596783,-0.188853,-9.66063,0.000868427,-0.000138944,-0.000821104
462.613,0.0224014,-0.194211,-9.65383,3.68068e-05,0.000430722,0.000290398
462.619,0.0351697,-0.174083,-9.64508,-5.96396e-05,-0.000861279,-0.000640822
462.625,0.00206332,-0.163833,-9.66783,-0.000167342,0.000135083,-0.000282026
462.631,0.0183957,-0.167508,-9.65816,6.62054e-05,0.000645436,-0.000773425
462.638,0.00503138,-0.188276,-9.66353,-0.000649136,-0.000680591,0.000194259
462.644,0.0211689,-0.174821,-9.65921,-0.00132875,0.000162104,-0.000528497
462.65,0.00591145,-0.164666,-9.68881,-0.000338104,8.25467e-05,-0.000267098
462.656,0.0238613,-0.16406,-9.70244,0.000247068,0.000704221,-0.000446654
462.663,0.0218712,-0.181141,-9.65431,0.000662892,0.00105302,0.000210499
462.669,0.00927822,-0.176019,-9.65149,-0.000713184,-0.000237531,-5.87385e-05
462.675,0.000121441,-0.14218,-9.64361,-0.00022292,0.000302432,-0.000902372
462.681,0.0238045,-0.159944,-9.64116,-0.00094083,0.000363587,-0.000569506
462.688,0.00301393,-0.172412,-9.66146,-0.000601571,0.000195904,-0.000232562
462.694,0.013526,-0.183131,-9.63304,0.000149252,0.000226471,-0.000271862
462.7,0.0226156,-0.182701,-9.64329,-0.000308449,-0.000828417,-0.00116522
462.706,0.00593208,-0.180037,-9.64888,0.000499588,0.000750229,-0.000195934
462.713,0.0225605,-0.186007,-9.62344,-0.000953598,0.00071044,0.000135165
462.719,-0.00526479,-0.162686,-9.67422,0.00122045,-0.000858884,-0.000141427
462.725,0.0186516,-0.15648,-9.67437,-0.000394429,-0.000750482,-0.000578897
462.731,0.0206413,-0.17491,-9.60503,0.000331641,0.00115647,-0.0010674
462.738,0.0116699,-0.172731,-9.63698,0.000658185,0.000538354,-0.000404957
462.744,0.00232542,-0.152114,-9.70614,-0.000365386,0.000861487,-0.000569504
462.75,0.0182051,-0.171636,-9.68687,0.000478184,-0.000740605,-0.000181323
462.756,-0.00144353,-0.193041,-9.63766,-0.000863589,-0.00109262,-0.00120315
462.763,0.0105117,-0.165115,-9.61097,0.00149832,0.000756653,0.000201201
462.769,0.0109047,-0.166391,-9.65028,0.00176515,0.000956016,-0.000927403
462.775,0.0402066,-0.148742,-9.64833,-0.00155294,-0.000273275,-0.000449114
462.781,0.00718233,-0.179796,-9.65145,-0.00186375,0.000222296,0.000179
462.788,0.020251,-0.174052,-9.63306,-0.000464886,-0.00072113,0.00102121
462.794,0.0271349,-0.151385,-9.60874,0.000828612,0.000137323,-0.000995696
462.8,-0.0152243,-0.17453,-9.68028,0.00124362,3.79281e-07,-4.96013e-05
462.806,0.0115764,-0.164623,-9.66845,0.00089984,-0.000873062,-0.00139059
462.813,0.0239921,-0.169345,-9.67254,-0.00087677,0.000166465,-0.000199375
462.819,0.015971,-0.175496,-9.66478,0.000680208,-0.000333313,-0.00063752
462.825,0.0165854,-0.168529,-9.65035,0.000425253,9.37679e-05,-0.000549781
462.831,0.0152119,-0.164531,-9.68431,-0.000530927,0.000510729,-0.000258218
462.838,-0.00622529,-0.178659,-9.63836,-0.000872217,-0.000477874,-0.000733708
462.844,-0.0116732,-0.174975,-9.62763,0.000474507,-0.000611584,-0.000423017
462.85,0.02199,-0.182003,-9.65815,0.000553459,0.00064106,-0.00086896
462.856,0.00688034,-0.165143,-9.64154,-0.000274691,-0.000485948,-0.00107391
462.863,0.0185166,-0.164711,-9.65972,-0.000621058,-0.000168909,-0.00149501
462.869,0.0115346,-0.181196,-9.69314,-0.000656191,0.000145299,-0.00113048
462.875,0.00401904,-0.183621,-9.63917,-0.000941525,0.0014845,-0.000460916
462.881,0.0255549,-0.197304,-9.64787,0.000463169,0.000105172,0.000197034
462.888,0.00172337,-0.163509,-9.6465,-0.000448711,-0.000742059,-0.000390555
462.894,0.00521604,-0.157743,-9.64236,-0.00131166,-0.000613149,0.000185304
462.9,0.0197048,-0.168352,-9.6297,-0.000698905,-0.000238121,0.000755883
462.906,0.00711597,-0.163167,-9.63111,-0.00110038,0.000207383,4.27132e-05
462.913,0.019008,-0.195241,-9.66319,0.00093702,0.000565778,0.00095317
462.919,0.0198052,-0.179747,-9.63854,0.000448268,0.000813187,-0.000935939
462.925,0.00169007,-0.183794,-9.68148,0.001411,-3.31288e-05,-0.000503466
462.931,0.0211285,-0.176035,-9.63786,-0.00080613,0.000207621,-0.00101144
462.938,0.0166999,-0.176584,-9.63938,-0.000824049,-0.000881191,9.19802e-05
462.944,0.0228209,-0.167654,-9.60737,0.000186791,-0.000122135,-0.00056812
462.95,0.00419476,-0.184627,-9.61365,0.000750083,-0.000321479,0.000854412
462.956,0.0233575,-0.183693,-9.62362,0.000301728,-0.000184954,-0.000500205
462.963,0.000590595,-0.159698,-9.64943,3.54946e-05,0.000312005,8.71364e-05
462.969,0.0101279,-0.182549,-9.62533,0.000655594,0.000621289,0.000197656
462.975,0.0168006,-0.175128,-9.65329,-3.39863e-05,-0.000690984,-0.000365851
462.981,0.0241363,-0.16454,-9.63582,0.000429397,-0.000603784,0.000310204
462.988,0.0244935,-0.165445,-9.63576,-0.00161533,0.000257673,-0.00032928
462.994,0.0244204,-0.15755,-9.64114,0.000472989,-3.3012e-05,-0.000846486
463.006,0.0112343,-0.153321,-9.63146,0.000599955,0.000486181,0.0016002
463.013,0.0119492,-0.172844,-9.68,-0.000410805,8.49921e-05,-2.08197e-05
463.019,0.0203519,-0.171788,-9.63948,-0.000342804,-0.000159878,-0.00184844
463.025,-0.00498147,-0.174154,-9.63443,0.000458137,0.00069351,-0.00123916
463.031,0.00815321,-0.175015,-9.65934,0.000850593,0.00230063,-0.000101408
463.038,0.0253855,-0.187257,-9.68572,0.00014196,-0.001149,-0.000512723
463.044,0.00872359,-0.168633,-9.66565,-0.00107853,-0.00170487,-0.00148331
463.05,0.0186115,-0.157672,-9.6195,0.000332725,-0.000687819,-0.00017044
463.056,0.0177493,-0.181032,-9.62451,0.000978007,0.000511261,-0.000514848
463.063,-0.0085185,-0.17716,-9.69999,0.000520095,-0.000407216,0.000220012
463.069,0.0138359,-0.186436,-9.66756,-0.000721344,-0.00135829,0.000154678
463.075,0.0262953,-0.180375,-9.61717,0.000567043,-0.00016345,-0.000528227
463.081,0.0193004,-0.182105,-9.62259,-2.11878e-05,0.00109941,-0.000347578
463.088,0.0206042,-0.182285,-9.65884,0.000115593,0.000353205,0.000353749
463.094,0.019731,-0.155517,-9.65013,-0.000120871,-0.000363392,-0.00099125
463.1,0.0275904,-0.174277,-9.60875,-0.000771737,-0.00100615,-0.000286269
463.106,0.0126364,-0.169207,-9.65768,-0.000370545,0.000407675,-0.000309354
463.113,0.0133839,-0.181678,-9.69469,0.00111865,0.000386927,-0.000960734
463.119,0.0274143,-0.183236,-9.68713,0.00104031,-0.00105587,-0.00178924
463.125,0.0331422,-0.190173,-9.6585,0.000540328,-0.000362551,-0.000567753
463.131,0.00532892,-0.169841,-9.67517,0.00102076,0.000490114,-5.97592e-05
463.138,-0.0100343,-0.176795,-9.66796,-0.000789976,9.2784e-05,-0.00063809
